county,state,cases,population,num_physicians,phys_per_cap
Coahoma,Mississippi,21,22124,13,5.875971795335382e-4
Copiah,Mississippi,9,28065,10,3.563156957063959e-4
Covington,Mississippi,2,18636,8,4.2927666881305e-4
DeSoto,Mississippi,84,184945,61,3.298277866392711e-4
Forrest,Mississippi,21,74897,48,6.408801420617648e-4
Franklin,Mississippi,3,7713,3,3.8895371450797355e-4
George,Mississippi,3,24500,8,3.2653061224489796e-4
Greene,Mississippi,0,13586,1,7.360518180479906e-5
Grenada,Mississippi,3,20758,10,4.817419789960497e-4
Hancock,Mississippi,16,47632,16,3.359086328518643e-4
Harrison,Mississippi,45,208080,111,5.334486735870819e-4
Hinds,Mississippi,90,231840,189,8.152173913043478e-4
Holmes,Mississippi,15,17010,9,5.291005291005291e-4
Humphreys,Mississippi,3,8064,3,3.720238095238095e-4
Issaquena,Mississippi,0,1327,0,0
Itawamba,Mississippi,3,23390,4,1.7101325352714836e-4
Jackson,Mississippi,40,143617,72,5.013334076049493e-4
Jasper,Mississippi,0,16383,3,1.8311664530305805e-4
Jefferson,Mississippi,1,6990,4,5.722460658082976e-4
Jefferson Davis,Mississippi,0,11128,2,1.7972681524083394e-4
Jones,Mississippi,6,68098,34,4.992804487650151e-4
Kemper,Mississippi,1,9742,1,1.0264832683227263e-4
Lafayette,Mississippi,15,54019,33,6.108961661637572e-4
Lamar,Mississippi,5,63343,84,0.0013261133826942204
Lauderdale,Mississippi,35,74125,71,9.578414839797639e-4
Lawrence,Mississippi,5,12586,3,2.383600826314953e-4
Leake,Mississippi,5,22786,5,2.194329851663302e-4
Lee,Mississippi,24,85436,83,9.714874291867596e-4
Leflore,Mississippi,19,28183,22,7.806124259305255e-4
Lincoln,Mississippi,11,34153,16,4.68480074956812e-4
Lowndes,Mississippi,11,58595,32,5.461216827374349e-4
Madison,Mississippi,42,106272,138,0.0012985546522131888
Marion,Mississippi,5,24573,8,3.255605746144142e-4
Marshall,Mississippi,14,35294,4,1.1333371111237037e-4
Monroe,Mississippi,6,35252,17,4.8224214228979916e-4
Montgomery,Mississippi,7,9775,6,6.138107416879795e-4
Neshoba,Mississippi,4,29118,17,5.838313070952676e-4
