county,state,cases,population,num_physicians,yhat
Lumpkin,Georgia,7,33610,12,26.821679020801227
McDuffie,Georgia,3,21312,11,17.00754606638845
McIntosh,Georgia,1,14378,11,11.474028591522762
Macon,Georgia,3,12947,10,10.332052314261038
Madison,Georgia,3,29880,4,23.845039248483804
Marion,Georgia,0,8359,7,6.670705591635747
Meriwether,Georgia,7,21167,7,16.891832187839917
Miller,Georgia,4,5718,2,4.563116948555234
Mitchell,Georgia,39,21863,8,17.447258804872874
Monroe,Georgia,6,27578,17,22.007981673182275
Montgomery,Georgia,0,9172,7,7.31950133825614
Morgan,Georgia,2,19276,10,15.38276360621733
Murray,Georgia,5,40096,7,31.997680512289378
Muscogee,Georgia,22,195769,198,156.2288985487425
Newton,Georgia,34,111744,30,89.17470099673943
Oconee,Georgia,17,40280,53,32.14451743403372
Oglethorpe,Georgia,1,15259,12,12.177090157048674
Paulding,Georgia,33,168667,25,134.60077760789886
Peach,Georgia,7,27546,7,21.982444817226735
Pickens,Georgia,7,32591,13,26.00848976396706
Pierce,Georgia,7,19465,5,15.533590661704729
Pike,Georgia,2,18962,4,15.132183207153611
Polk,Georgia,16,42613,12,34.006313838542184
Pulaski,Georgia,4,11137,8,8.887623899275908
Putnam,Georgia,1,22119,8,17.65155365251718
Quitman,Georgia,0,2299,2,1.8346634950556984
Rabun,Georgia,2,17137,10,13.675784390939324
Randolph,Georgia,5,6778,2,5.409025302082437
Richmond,Georgia,41,202518,198,161.61478107511525
Rockdale,Georgia,47,90896,66,72.53743934170629
Schley,Georgia,4,5257,4,4.195226617445762
Screven,Georgia,2,13966,2,11.145241571095209
Seminole,Georgia,6,8090,10,6.456036396259504
Spalding,Georgia,17,66703,30,53.23077821257079
Stephens,Georgia,5,25925,17,20.688843457729003
Stewart,Georgia,1,6621,2,5.283735102550578
Sumter,Georgia,38,29524,20,23.56094172597844
Talbot,Georgia,1,6195,2,4.943775707642476
Taliaferro,Georgia,0,1537,0,1.2265671126144446
Tattnall,Georgia,2,25286,7,20.17890436536685
Taylor,Georgia,2,8020,6,6.400174523856764
Telfair,Georgia,0,15860,4,12.656704232963627
Terrell,Georgia,46,8531,7,6.807966192396765
Thomas,Georgia,14,44451,43,35.473087002488406
Tift,Georgia,28,40644,35,32.43499917052797
Toombs,Georgia,3,26830,27,21.41105766522157
Towns,Georgia,0,12037,11,9.605847973025421
Treutlen,Georgia,0,6901,6,5.507182592161538
Troup,Georgia,19,69922,37,55.79962631634822
Turner,Georgia,5,7985,6,6.372243587655395
Twiggs,Georgia,2,8120,6,6.479977198717822
Union,Georgia,1,24511,19,19.56043363519366
Upson,Georgia,6,26320,14,21.00406402343018
Walker,Georgia,2,69761,12,55.67114400982191
Walton,Georgia,13,94593,24,75.48774423131957
Ware,Georgia,12,35734,26,28.516687834850078
Warren,Georgia,4,5254,3,4.19283253719993
Washington,Georgia,4,20374,13,16.258996976191735
Wayne,Georgia,0,29927,12,23.8825465056685
Webster,Georgia,1,2607,2,2.080455733627754
Wheeler,Georgia,1,7855,6,6.268500110336021
White,Georgia,3,30798,7,24.577627803708307
Whitfield,Georgia,14,104628,56,83.49594265362663
Wilcox,Georgia,1,8635,7,6.890960974252264
Wilkes,Georgia,2,9777,4,7.802307521165535
Wilkinson,Georgia,1,8954,3,7.145531507059036
Worth,Georgia,28,20247,6,16.157647579118194
Ada,Idaho,226,481587,428,384.3193077831182
Adams,Idaho,1,4294,3,3.426726858533784
Bannock,Idaho,4,87808,64,70.07313274199686
Bear Lake,Idaho,0,6125,5,4.887913835239736
Benewah,Idaho,0,9298,7,7.420052708581071
Bingham,Idaho,2,46811,15,37.35643012920935
Blaine,Idaho,265,23021,23,18.37137377976391
Boise,Idaho,0,7831,2,6.249347468369367
Bonner,Idaho,1,45739,26,36.50094545469882
Bonneville,Idaho,2,119062,45,95.01466074307157
Boundary,Idaho,0,12245,5,9.771837536736419
Butte,Idaho,0,2597,2,2.072475466141648
Camas,Idaho,1,1106,0,0.8826175839632895
Canyon,Idaho,68,229849,76,183.4256501413907
Caribou,Idaho,0,7155,3,5.709881386308622
Cassia,Idaho,1,24030,19,19.176582769111977
Clark,Idaho,0,845,0,0.6743326025759309
Clearwater,Idaho,0,8756,10,6.987522210834143
Custer,Idaho,2,4315,3,3.4434854202546057
Elmore,Idaho,3,27511,18,21.954513881025367
Franklin,Idaho,0,13876,5,11.073419163720256
Fremont,Idaho,1,13099,3,10.453352380049845
Gem,Idaho,4,18112,10,14.453860470834627
Gooding,Idaho,1,15179,5,12.113248017159828
Idaho,Idaho,2,16667,10,13.300711819092356
Jefferson,Idaho,3,29871,7,23.83785700774631
Jerome,Idaho,4,24412,9,19.481428987081213
Kootenai,Idaho,31,165697,123,132.23063816452546
Latah,Idaho,1,40108,37,32.007256833272706
Lemhi,Idaho,0,8027,5,6.405760711097038
Lewis,Idaho,0,3838,2,3.0628266611673642
Lincoln,Idaho,5,5366,4,4.282211533044314
Madison,Idaho,4,39907,25,31.84685345680198
Minidoka,Idaho,1,21039,6,16.789684764017764
Nez Perce,Idaho,10,40408,30,32.246664857855876
Oneida,Idaho,0,4531,2,3.6158591979544887
Owyhee,Idaho,1,11823,9,9.43507024882276
Payette,Idaho,3,23951,10,19.11353865597174
Power,Idaho,0,7681,2,6.1296434560777815
Shoshone,Idaho,0,12882,6,10.280180575601351
Teton,Idaho,3,12142,5,9.68964078162953
